l (deg),b (deg),distance (pc)
150.13163438197083,-50.498450950274965,492.2107382011663
198.63238087482137,-52.78259253514584,225.69945661461784
130.34933610108698,-36.680413331630035,1793.6710134617265
152.8740157460328,-51.50984506801049,456.5205583075564
,,
133.25249111806767,-43.7086017280926,1332.0840938327083
171.21358129835244,-61.01115775387498,384.3228500478817
,,
157.02862874348503,-59.45093554897709,504.7271278020243
128.8218896790708,-37.61117509067205,2644.384327093031
140.08430961739703,-42.31001814147082,684.6279201733779
143.12129799465967,-57.537384237822664,846.2134616189893
149.45202555660572,-58.882855726847396,646.8208353529928
,,
,,
,,
129.32309671098668,-42.00786030079665,2627.5525580471626
144.60502653570293,-48.55132995583486,601.4782031341484
130.090461379153,-50.57719726782697,2945.657176818939
142.8043644327902,-43.31618564631226,590.7532520661035
136.98304869968624,-46.023451452260815,944.272374089521
163.5403758055969,-59.676523714477405,428.5807495907682
126.89382527003573,-42.317944697353205,7807.5026532135635
135.606776773904,-41.327818374158404,964.9095446434922
,,
148.89799614429847,-53.64372021897753,562.1315188736442
128.1752715666108,-47.4776704700638,4880.999395836549
,,
129.62708416900028,-41.584737191231234,2397.3277181209082
135.79671803566922,-42.10660308871667,963.1780712195863
137.87623360300856,-41.25233673378435,788.040756241624
134.42460986670784,-43.573000761185114,1150.2779025696605
140.26690969819148,-52.83907171553428,875.3876667139601
133.98748707440106,-45.2070376467811,1261.1607960873207
137.18920714404666,-45.01235588085176,905.2909046801922
143.51573656062166,-49.473945077447354,652.1837087293211
148.7585015017905,-51.00953496756341,526.9867936252438
136.54520000309458,-49.88153394041503,1088.267652068826
135.38991315479868,-50.11813004682812,1231.373877861483
204.55882314443727,-61.67983512590498,286.48442010136205
131.13709799653628,-40.27068393212953,1687.6467023022576
146.50017163351046,-51.50620967231725,590.0152398778838
140.58976439816968,-52.77547790152423,854.3458388450011
142.424111179855,-43.300477789376444,603.5538631040826
221.20262004477297,-51.04308840677888,210.29657708827264
129.72724708326436,-52.90174513634642,3633.2052588659253
128.86396084663124,-38.68870512757221,2696.840750532192
167.46723149381927,-61.51522863308497,419.88105641999584
135.04056638405086,-44.61896277836812,1102.295796860688
156.21058583345828,-50.409372854595745,399.19215167565534
140.27582637714946,-44.560218748179246,708.5317111256477
142.45392325682337,-43.63610462370339,606.6619901200341
130.92424515396934,-53.04576235053864,2684.695634135561
139.01207123287966,-47.847436915421376,837.0324813540462
,,
135.94139925465217,-52.96433764055097,1269.9272816234088
,,
,,
133.7103807325949,-49.23885138318838,1462.8666467037133
135.6488303045836,-51.577698542275726,1252.4985147212924
138.367351286434,-44.07211666148035,804.6416018906048
147.4745170850552,-60.25987090926378,741.9800994244874
147.50579589262188,-52.0971249325415,572.3231102466043
,,
172.513509685623,-58.01727804499072,340.5833288262131
177.58172852379232,-54.55524069532725,285.6445263943481
,,
156.7444469731821,-50.249087314320484,391.45432111340125
,,
145.5053657193067,-56.28477481513249,711.7958257043841
126.35060262975651,-44.06964615286399,16870.27221483967
,,
,,
129.7527719978107,-54.00875357895179,3821.483746741054
130.57727030193786,-47.39063393214413,2323.259495183703
139.84195434186623,-48.86313448354633,808.3410890149921
128.6161407010838,-35.76331996407262,2667.3850480395167
173.35536403559806,-52.35985241538194,287.23946070759814
146.42328873813233,-54.978351003777796,653.0946087447359
,,
127.95907452085515,-42.43897341912979,4239.372818835183
132.84148256206322,-44.11386949588387,1423.6879074313322
,,
128.38704787562648,-47.111445240620064,4374.161034581521
,,
130.20444992827723,-39.17405134672295,1965.0761148148558
144.76794389215127,-58.063221877848804,785.210096225214
133.35211159242292,-49.49849837437946,1547.4755192596392
,,
137.56920206818103,-51.550657911766855,1040.8883905151454
,,
146.22921185929602,-52.04390073040046,606.3221460069944
130.61649813426718,-41.96085510133149,1946.432128067024
,,
177.2488160887453,-56.09819651165302,299.44986034485515
136.1939523042124,-50.31660124992733,1140.37224520505
139.61884868466814,-49.72895171964791,840.2281454746778
133.5034177812985,-42.14963819538952,1241.9534403669652
136.94215951538516,-49.48237097023436,1037.2534425953145
170.86829728421654,-51.942287962775005,296.2558578279168
,,
129.67073122963635,-47.68829726600674,2926.8818177562193
,,
157.47797529074734,-54.42718136866353,426.74373765714597
180.03479880827575,-60.67011109352092,332.8619793318849
139.05781133953417,-42.0655458991392,732.1973447584207
132.67112025077023,-52.33085054545765,1883.9404769807322
128.75415325258422,-38.85736950225433,2801.434101736724
126.83692579299075,-36.0289390396755,5789.175506716814
,,
148.27854671461245,-52.19954818298579,554.8039332209885
135.20278953972823,-56.62981480381168,1573.2290089151309
,,
,,
,,
128.35761593581847,-37.85816352617525,3081.4861979801935
,,
130.21576160565118,-48.03199148730948,2581.6931248311603
134.69168254701435,-46.38461626534953,1197.9540977036925
147.80877741582188,-53.306132992925754,583.667733234218
130.36050185193378,-37.4389803256998,1822.8594154591374
139.39317411089496,-55.30735561663353,1009.1745630111511
,,
155.28834924928265,-61.22564605937838,567.6620548073904
173.47193604047993,-59.03180459509826,346.2259879536541
128.26337199869258,-39.42875968105982,3353.529246461104
130.36139329139678,-47.59022085884868,2455.5400901094586
131.2865390821571,-39.90327257119891,1629.7849198155218
149.1087217299618,-47.80918071394115,481.14648236374325
,,
,,
158.66430136583372,-55.928263211714466,430.83537410835123
145.92660510211195,-58.91459507581378,761.7132424449225
128.75551675888923,-40.37885169507981,2938.824457486181
132.8656328390948,-52.425372025325245,1834.2684177233716
134.2462905465392,-43.41718315902019,1170.0148631603176
137.38091470569495,-45.603580572111916,903.1862327743568
128.1638424646311,-40.32363525818033,3591.3705249168643
167.02101699384448,-52.60024308057934,323.4663666890182
153.1902690940934,-54.70194153546183,492.1550635410008
132.71447461547373,-45.79783924386067,1517.4761866500623
126.84147579205822,-34.3275432083401,5359.546827088229
130.43170942284794,-37.991885992794124,1821.5236239887424
131.50237830225228,-40.08550690035665,1578.4222158950245
243.1173626001877,-39.83032152267464,193.70468739836468
131.634346861066,-45.82028974244436,1801.3584655521602
149.74461764678472,-53.500703752527436,540.8427053339366
,,
126.95549082593081,-35.46417564878172,5248.765585640327
,,
148.90460498386355,-50.536882173795796,517.6602443934362
128.91071858090956,-49.821676423774505,4082.6361952848765
132.55826860768974,-41.543868437106866,1389.737382861309
,,
147.52878032663563,-49.5512604620652,535.8839331112113
136.14021532434967,-53.299720699746146,1258.3903528518542
133.05522855392763,-48.6430588728995,1571.0312758792836
131.33223110257504,-45.75283349238506,1896.7173156740496
,,
144.73487687036305,-57.51643328935907,772.010754156401
126.67473483404258,-35.84489718248081,6415.26633458686
132.49461145945665,-38.461140325217904,1307.2105541395576
210.11843205243756,-60.988402881344335,276.40894818524464
,,
,,
137.97692999134938,-48.94294352275491,934.4761615749759
148.91701521449224,-53.93982155206735,566.4995867558474
,,
,,
,,
137.1260713476666,-48.648812979439974,997.3778421649445
,,
,,
128.54798488599192,-39.89395600462159,3090.7582507467423
133.6606890462821,-55.85989895707712,1863.0177116244852
,,
169.69566545691202,-52.19237789375325,304.3452311762167
134.38543270906874,-41.847015547300884,1110.3738918355698
145.57483403313722,-50.927595026925495,607.7921086447814
137.97346556293607,-44.323619420299856,834.9215281877421
,,
142.0085486481982,-47.02143431971693,670.7842841531481
,,
136.90189580818148,-43.008625435272066,887.3358983208027
